timestamp_ms,real_x,real_y,pred_x,pred_y
16249483,34.75,103.5,0,0
16249524,34.75,103.5,34.75,103.5
16249564,34.75,103.5,34.75,103.5
16249604,34.75,103.5,34.75,103.5
16249645,34.75,103.5,34.75,103.5
16249685,34.75,103.688,34.75,103.5
16249725,35.1875,103.562,34.75,103.833
16249765,34.5,103.5,35.5156,103.469
16249805,34.5,103.562,33.9844,103.453
16249845,34.5,103.5,34.5,103.609
16249885,34.75,103.25,34.5,103.453
16249926,34.25,103.062,34.9375,103.062
16249966,33.8125,100.188,33.875,102.922
16250006,33.4375,97.1875,33.4844,98.0312
16250046,31.875,89.0625,33.1562,94.9375
16250086,31.875,89.0625,30.7031,82.9688
16250127,30.625,84.0625,31.875,89.0625
16250167,29.75,72.8125,29.6875,80.3125
16250207,30.125,66.25,29.0938,64.375
16250247,30.125,52.1875,30.4062,61.3281
16250287,30.125,52.1875,30.125,41.6406
16250328,30,43.875,30.125,52.1875
16250368,32.25,26.25,29.9344,39.5109
16250408,33.75,16.5,33.9375,13.0312
16250448,34.9375,6.5,34.875,9.1875
16250488,33.8125,6.875,35.8875,-1.5
16250528,33.5625,6.5625,32.9688,7.15625
16250569,31.75,6.3125,33.3688,6.32031
16250609,32.8125,6.3125,30.3906,6.125
16250649,32,6.25,33.3703,6.3125
16250689,31.125,6.25,31.3906,6.20312
16250733,31.125,6.25,30.25,6.25
16250773,29.1875,6.25,31.125,6.25
16250813,25.1875,6,28.2188,6.25
16250854,24.5625,5,22.0875,5.80625
16250894,22.0625,5.125,24.1052,4.26829
16250935,17.5,6.0625,20.125,5.22188
16250975,13.5625,5.8125,14.0781,6.76562
16251015,7.875,6.625,10.6094,5.625
16251056,7.5625,7.4375,3.60938,7.23438
16251096,7.0625,9.125,7.40625,7.84375
16251136,7.125,10.5625,6.6875,10.3906
16251176,7.125,10.8125,7.17188,11.6406
16251216,7.3125,10.3125,7.125,11
16251258,7.125,8.9375,7.45312,9.9375
16251298,7.125,7.875,6.98781,7.9314
16251338,7.5625,7.6875,7.125,7.05156
16251378,7.5625,7.6875,7.90156,7.54219
16251418,7.5625,7.6875,7.5625,7.6875
16251458,7.4375,7.75,7.5625,7.6875
16251499,7.25,7.875,7.34375,7.79688
16251540,7.1875,7.9375,7.10938,7.96875
16251581,7.1875,7.9375,7.14062,7.98438
16251621,7.1875,7.9375,7.1875,7.9375
16251661,7.1875,7.9375,7.1875,7.9375
16251701,7.1875,7.9375,7.1875,7.9375
16251741,7.1875,7.9375,7.1875,7.9375
16251782,7.1875,7.9375,7.1875,7.9375
16251822,7.1875,7.9375,7.1875,7.9375
16251862,7.1875,7.9375,7.1875,7.9375
16251902,7.1875,7.9375,7.1875,7.9375
16251943,7.1875,7.9375,7.1875,7.9375
16251984,7.1875,7.9375,7.1875,7.9375
16252024,7.25,7.9375,7.1875,7.9375
16252064,7.3125,7.8125,7.29688,7.9375
16252105,7.3125,7.8125,7.35938,7.71875
16252145,7.5,7.8125,7.3125,7.8125
16252185,7.4375,7.8125,7.64062,7.8125
16252226,7.5,7.8125,7.39062,7.8125
16252266,7.5625,7.75,7.54573,7.8125
16252306,7.6875,7.625,7.60938,7.70312
16252346,7.875,7.4375,7.78125,7.53125
16252386,8.25,7.125,8.01562,7.29688
16252427,12.5,6.25,8.4375,6.96875
16252467,14.5625,6.1875,15.6875,5.59375
16252508,16.4375,6.1875,16.625,6.125
16252549,18.375,6.1875,17.8095,6.1875
16252592,20.375,6.25,19.8766,6.1875
16252632,22.6875,6.25,21.8036,6.29464
16252672,27.9375,6.125,24.4219,6.25
16252713,30.6875,6.0625,30.5625,6.0625
16252753,32.875,6.125,32.75,6.01562
16252793,33.125,5.875,34.5156,6.17188
16252833,35.375,5.8125,33.3125,5.6875
16252873,38.1875,6,37.0625,5.76562
16252913,42,5.9375,40.3672,6.14531
16252954,45.1875,6.3125,44.8594,5.89062
16252997,54.625,6.4375,47.7375,6.6125
16253037,58.375,6.625,61.6483,6.53052
16253077,62.5,6.5,61.1875,6.76562
16253121,66.4375,6.125,65.8,6.4
16253161,71.0625,6.1875,68.3605,5.94186
